year,race,"P_mean_Beta(1, 5)","P_mean_Beta(1, 4)","P_mean_Beta(1, 3)","P_mean_Beta(1, 2)","P_mean_Beta(1, 1)","lower_Beta(1, 5)","lower_Beta(1, 4)","lower_Beta(1, 3)","lower_Beta(1, 2)","lower_Beta(1, 1)","upper_Beta(1, 5)","upper_Beta(1, 4)","upper_Beta(1, 3)","upper_Beta(1, 2)","upper_Beta(1, 1)"
2014,AIAN,178.327879992533,178.846965553968,178.472218949634,178.883089888473,179.21761496622,97.0876930336616,96.1451108352063,96.5004650829476,97.649680896304,97.2281303613654,296.058727785857,304.972987208866,299.36690251252,299.120045793188,301.971714158028
2014,Asian,10.2241205399612,10.1448344223914,10.2718102622954,10.1773687038618,10.1919412398821,0.417980092213959,0.330493170566411,0.372231494853642,0.347286985782774,0.379538273329751,31.8850653650244,32.6387479614892,32.4569302601768,32.0935227832949,31.9604666271409
2014,Black,333.763230606785,333.962577181432,333.953798240561,333.887413047071,334.056783493094,313.44149241508,313.654283295922,313.648006282611,313.038003227548,313.755938867634,355.04601542396,355.542254925482,355.478050662904,355.386393197352,355.398087279017
2014,Hispanic,144.865958491193,144.973883792264,144.972945426495,144.911729505811,145.064256598025,129.161786996717,129.241780117197,129.332286364624,129.169854874247,129.158715855493,161.246395840303,161.561060625028,161.562137928796,161.636466804133,162.175866169413
2014,Multiracial,88.9491963281482,89.0461465131756,89.0778694790397,88.6010702482979,89.3430735707869,43.064775737796,43.3855846302421,43.4902141428447,43.3620034008378,42.9736890701564,156.58438985704,157.106644737425,159.053250709678,156.131406567529,160.405324508679
2014,NHPI,661.300892617012,659.618124406719,660.330698336286,659.904940453829,661.84595301156,394.430589689016,386.25026921899,391.665974406342,395.205187178205,390.646946096424,1059.74059545182,1060.2401109863,1047.23519988802,1047.4249952991,1054.52715113799
2014,White,3.59735096242737,3.72256991905797,3.71081593935939,3.64610554286796,3.80957162836477,0.107388018664359,0.111437158015767,0.116544175157865,0.100799296255774,0.111648506269749,11.7714257021038,12.297054929442,12.1079684843455,12.1413639574694,12.4226447868411
2015,AIAN,222.439008199094,222.99952820508,222.115857511178,222.675851139766,224.175014520326,127.484111950875,129.426213981596,128.02807193639,127.761336314016,129.416900375043,364.405749302732,364.670140572699,358.704128636439,362.413173722829,366.334560952598
2015,Asian,27.0464895111864,26.9185923111342,27.1460776098255,26.9499516587732,27.0613011404238,4.76927240835618,5.06557985326292,5.34793546774403,5.22623424814403,4.78801580774833,60.848014504507,59.6445777665702,60.854951718134,60.4262508607618,59.7106868311348
2015,Black,309.260406337487,309.502956696148,309.343850453683,309.387994648442,309.490689053079,289.411435445431,289.549296020399,289.817110324146,289.585009529807,290.062489976491,329.7267883075,330.189708023217,330.112220468481,329.906934195447,329.894689452421
2015,Hispanic,173.145090666914,173.330249059081,173.319500075059,173.309277891698,173.444725494106,156.793118102865,156.847757263467,156.382094600471,156.781122875729,156.459629779393,190.262423636191,191.215105409875,191.418018701108,191.142515428294,191.257435221351
2015,Multiracial,115.769830029104,116.396130415237,116.243813544664,115.941003041565,116.49725009535,63.7807436644096,64.2068679934862,63.9746289246855,63.6878570479875,64.3955662530647,196.744525884337,193.713529632548,193.905534993749,196.169764633253,197.055474813281
2015,NHPI,867.414009529183,866.91363761885,867.086012041191,870.61133654408,869.362792463714,543.811919374363,538.418282885959,543.864048631279,541.182761393742,540.083504649344,1345.50811697442,1364.66408041256,1356.42036837444,1358.35471965993,1348.0719617685
2015,White,9.22367943734825,9.3099577613722,9.33617244957196,9.26793047487517,9.4359702371817,2.58485282628108,2.55017685751419,2.53365512402937,2.47753275219455,2.60135998474398,18.228415507276,18.712982046432,18.7197117317232,18.4002576614449,18.7050983625867
2016,AIAN,264.587118753753,264.786902641811,264.260418533377,265.065133936707,265.521971374639,158.949512004035,158.646351131844,156.482967809815,158.066180649592,158.470416262223,419.913565590863,421.682933002843,423.549582591552,426.932793734213,423.236750825751
2016,Asian,31.2543365462461,31.3389513591103,31.4924826207839,31.4431095403223,31.5950370111204,7.88295461695353,8.166723528801,8.28989192754097,7.92246624477696,8.3378643575559,65.4729033630057,65.9640219856329,66.6676194109781,66.5657363858071,66.8482279809329
2016,Black,342.016330134372,342.099959201805,342.065007022966,341.955806016711,342.141190711579,321.352625067672,321.859569116079,322.081035164289,321.790478668387,321.52862187825,363.386247092748,363.267371076266,363.409969589601,362.750178914307,363.084653105051
2016,Hispanic,190.947654945567,191.19211782199,191.178671291545,191.047337226586,191.311999265252,174.22142333822,173.937982571304,174.009827142175,174.212519977075,174.113083730476,208.840128612823,209.611888430084,209.292905489047,209.169854329651,209.483042066823
2016,Multiracial,177.995700417136,178.638780565053,178.541627663703,177.981931977319,178.033881563013,110.268788402644,109.635055040067,110.125881872074,109.72655593081,111.346285271016,280.46145071606,283.992338105063,282.164061061325,282.602763825903,282.90786963062
2016,NHPI,884.475162088748,887.145956773616,887.071457831747,884.837452556228,886.483218713608,555.206439681432,556.557660832785,557.52601374224,558.052419341169,560.31716311187,1373.76731709777,1385.00775758108,1372.23648045959,1376.10711248925,1379.39709225012
2016,White,13.7959479242646,13.9019100164694,13.8396039821682,13.8255187883084,13.9943463066134,7.00747495924605,6.94429164923202,6.81924859778434,6.99004794346259,7.09020045091679,22.7929967603277,23.2529497552069,22.9801075769915,23.1783794041648,23.3651425276994
