year,P,lower,upper
2014,88.7066076672743,77.3176821077397,104.736211231027
2015,97.8549049018694,83.6955639553715,115.763325959021
2016,111.291649781317,95.9650098897355,130.43486594602
2017,137.119346586976,121.033619956358,157.026548283877
2018,165.970236975508,148.263292646731,188.086218696303
2019,225.976713879385,205.483029380543,251.605643987051
2020,279.391955995317,255.87032088172,308.502067471624
2021,335.806165904134,309.249715686565,369.555706963117
2022,462.215779485502,430.854681845729,502.411141454038
