race,Test_alpha,Test_beta
AIAN,20.4627664285845,3.56467993181428
Asian,12.6013926316362,1.57500428438673
Black,25.4721305866257,3.65823367057506
Hispanic,5.10795910207038,1.64090202513964
Multiracial,15.9734649957883,2.37980504020364
NHPI,26.7626385614373,5.375594130208
White,13.264741253013,1.77166790511126
