race,Test_alpha,Test_beta
AIAN,18.4185997741507,13.7957635438516
Asian,18.4185997741507,13.7957635438516
Black,125389.26538203,45297.0920039386
Hispanic,12236.5995382288,18319.6243438826
Multiracial,18.4185997741507,13.7957635438516
NHPI,18.4185997741507,13.7957635438516
White,154701.315605216,71339.7345067203
