race,Test_alpha,Test_beta
AIAN,19.7689740080502,3.37478541034083
Asian,12.343983566531,1.51800987829577
Black,24.9131119617743,3.53378443302184
Hispanic,5.04486416125433,1.60038722292469
Multiracial,15.5675742014667,2.27844830680171
NHPI,25.2790219242322,4.93666837233299
White,13.0458979083582,1.719881697649
